query,gold_answer,gold_chunk_ids
Am I eligible for the Chancellor's Scholarship?,"Must plan to start a full-time undergraduate degree or integrated master's at Hull in September 2026. Foundation Year students, direct 2nd/3rd year entrants, postgraduates, international students, and Hull York Medical School students are NOT eligible.",chancellors_scholarship_policy.pdf::1
How much money does the Chancellor's Scholarship cover?,A full tuition fee waiver only - no cash alternative is offered.,chancellors_scholarship_policy.pdf::0;chancellors_scholarship_policy.pdf::3
How do I appeal a rejected scholarship decision?,First check you meet the eligibility criteria and email hefunding@hull.ac.uk with initial queries. Appeals are only accepted from those unfairly excluded from the selection panel's consideration.,chancellors_scholarship_policy.pdf::4
When is the deadline to apply for the Chancellor's Scholarship?,Applications must be received by the advertised deadline; late or incomplete applications will not be considered.,chancellors_scholarship_policy.pdf::1
What happens if my scholarship application is unsuccessful?,"You may appeal only if you believe you were unfairly excluded from the selection panel's consideration, after first confirming you meet the eligibility criteria.",chancellors_scholarship_policy.pdf::4
Is the Chancellor's Scholarship available to postgraduate students?,No - postgraduate students are explicitly listed as not eligible for the Chancellor's Scholarship.,chancellors_scholarship_policy.pdf::1
Who do I contact with questions about my scholarship award?,Email hefunding@hull.ac.uk for any questions regarding this award.,chancellors_scholarship_policy.pdf::0
Is the Chancellor's Scholarship available to international students?,No - international students are explicitly listed as not eligible for the Chancellor's Scholarship.,chancellors_scholarship_policy.pdf::1
Can Hull York Medical School students receive the Chancellor's Scholarship?,No - Hull York Medical School students are explicitly excluded from eligibility.,chancellors_scholarship_policy.pdf::1
How many students receive the Chancellor's Scholarship each year?,Ten undergraduate Home students receive the Chancellor's Scholarship.,chancellors_scholarship_policy.pdf::0
What academic average do I need to keep the Chancellor's Scholarship?,"An average mark of 60 or above across all modules, with a minimum mark of 40 in each individual module.",chancellors_scholarship_policy.pdf::1
Can I get the Chancellor's Scholarship if I repeat a year?,No - students will not receive any award for periods of study (e.g. repeated years) for which awards have already been made.,chancellors_scholarship_policy.pdf::3
What does the Chancellor's Scholarship application involve?,"A personal statement of up to 500 words and a video of up to two minutes in length, both of which are compulsory.",chancellors_scholarship_policy.pdf::2
Who selects the Chancellor's Scholarship recipients?,"A selection panel chooses recipients based on academic achievement, motivation, and academic potential demonstrated in their application.",chancellors_scholarship_policy.pdf::0
Who is responsible for the Chancellor's Scholarship policy?,The University's Chief Operating Officer has overall responsibility for implementing this policy.,chancellors_scholarship_policy.pdf::4
What support is available if I'm facing financial hardship?,"You may be eligible for help if experiencing challenging circumstances such as homelessness, relationship breakdown, family bereavement, or funding delays. Support can include help towards living costs, travel, or essential costs like food, plus impartial advice from financial wellbeing specialists.",financial_advice_and_support.html::4;financial_advice_and_support.html::5
How do I apply for student finance?,Most students apply for tuition fee and maintenance loans through Student Finance England (SFE).,faq_how-do-i-apply-for-student-finance.html::0
Can care leavers get extra financial support at Hull?,"Yes - care leavers, young adult carers, or estranged students under 25 may be eligible for the Humber Grant, a support package offering up to £1,300 in cash and vouchers. Hull is also a Care Leaver Covenant supporter.",financial_advice_and_support.html::3
What is the Humber Grant?,"A support package offering up to £1,300 in cash and vouchers for care leavers, young adult carers, or estranged students under 25.",financial_advice_and_support.html::3
Who is eligible for the Humber Grant?,"Care leavers, young adult carers, or estranged students under 25.",financial_advice_and_support.html::3
How much is the Humber Grant worth?,"Up to £1,300 in cash and vouchers.",financial_advice_and_support.html::3
Are estranged students eligible for extra financial support?,"Yes - estranged students under 25 may be eligible for the Humber Grant (up to £1,300 in cash and vouchers), and Hull is a Legacy Pledge member of the Stand Alone Pledge supporting estranged students.",financial_advice_and_support.html::3
What is the Disabled Students' Allowance?,"Financial support (DSA) for students with a disability, long-term health condition, or mental health difficulty, to help with extra study-related costs such as specialist equipment, non-medical support (e.g. note-takers, BSL interpreters), and travel costs. DSAs are non-means-tested and don't need to be repaid.",financial_advice_and_support.html::3;financial_advice_and_support.html::4
How do I apply for the Disabled Students' Allowance?,You can apply for student finance and DSA at the same time; university advisors are available to help with the application.,financial_advice_and_support.html::4
Does the university offer one-to-one financial advice?,"Yes - expert advisors offer support via digital resources, workshops, and one-to-one appointments, covering budgeting, financial support packages, and navigating changes in circumstances.",financial_advice_and_support.html::3
What undergraduate scholarships does Hull offer?,"The page describes a general range of scholarships, bursaries, and awards 'to celebrate achievement, recognise potential, and provide financial assistance where it's needed most' but does not name specific scholarships in this chunk - it links out to filterable listings instead. A good test of whether the system over-claims specifics it doesn't have.",ug_scholarships_awards.html::0
